epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.13496,0.85896,3.85827,0.98082,0.00284,0.83333,0.03574,0.01929,0.29799,3.85422,0.7527,0.000222222,0.000222222,0.000222222
2,12.1114,0.532,3.62201,0.83035,0.0018,0.5,0.14151,0.11216,0.43563,3.8297,0.74645,0.000500556,0.000500556,0.000500556
3,18.5604,0.42272,3.3518,0.83303,0.0018,0.5,0.14151,0.11216,0.43563,3.8297,0.74645,0.000712889,0.000712889,0.000712889
4,27.4966,0.52406,3.20629,0.84151,0.00452,1,0.41919,0.36786,0.65998,3.66022,0.75873,0.000703,0.000703,0.000703
5,34.6945,0.67496,2.92022,0.82477,0.00452,1,0.41919,0.36786,0.65998,3.66022,0.75873,0.000604,0.000604,0.000604
6,40.7964,0.77903,2.79591,0.87424,0.00408,1,0.39405,0.34399,0.57856,3.45421,0.75185,0.000505,0.000505,0.000505
7,45.419,0.60077,2.41378,0.85735,0.00408,1,0.39405,0.34399,0.57856,3.45421,0.75185,0.000406,0.000406,0.000406
8,50.1689,0.49342,2.30709,0.84963,0.00408,1,0.39405,0.34399,0.57856,3.45421,0.75185,0.000307,0.000307,0.000307
9,55.1517,0.49814,2.38849,0.89505,0.0038,1,0.42011,0.36704,0.50971,3.38103,0.74046,0.000208,0.000208,0.000208
10,60.9885,0.45115,2.08603,0.83926,0.0038,1,0.42011,0.36704,0.50971,3.38103,0.74046,0.000109,0.000109,0.000109
