epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1507,0.73811,3.85211,1.00682,0.00369,0.83333,0.10788,0.09058,0.27864,3.99795,0.84225,0.000266667,0.000266667,0.000266667
2,38.7901,0.79133,4.05007,0.99729,0.00369,0.83333,0.10788,0.09058,0.27864,3.99795,0.84225,0.00057624,0.00057624,0.00057624
3,56.934,0.74813,4.17147,1.04175,0.00369,0.83333,0.10788,0.09058,0.27864,3.99795,0.84225,0.000859413,0.000859413,0.000859413
4,76.2739,0.69223,3.54068,1.00723,0.00486,1,0.38288,0.358,0.4816,4.05591,0.89933,0.0008812,0.0008812,0.0008812
5,94.5378,0.5246,3.65382,0.92992,0.00486,1,0.38288,0.358,0.4816,4.05591,0.89933,0.0008416,0.0008416,0.0008416
6,113.051,0.68866,3.36096,1.01586,0.00486,1,0.38288,0.358,0.4816,4.05591,0.89933,0.000802,0.000802,0.000802
7,132.153,0.65625,3.34652,0.96548,0.00613,1,0.37609,0.36335,0.39342,4.01486,0.85342,0.0007624,0.0007624,0.0007624
8,150.015,0.69655,4.06085,1.0564,0.00613,1,0.37609,0.36335,0.39342,4.01486,0.85342,0.0007228,0.0007228,0.0007228
9,169.769,0.80092,3.71757,1.1376,0.00613,1,0.37609,0.36335,0.39342,4.01486,0.85342,0.0006832,0.0006832,0.0006832
10,188.605,0.62529,3.73799,0.9782,0.00405,1,0.37865,0.35184,0.42674,3.92929,0.82357,0.0006436,0.0006436,0.0006436
11,206.692,0.72609,2.97158,0.99625,0.00405,1,0.37865,0.35184,0.42674,3.92929,0.82357,0.000604,0.000604,0.000604
12,224.595,0.75871,3.36757,0.96378,0.00405,1,0.37865,0.35184,0.42674,3.92929,0.82357,0.0005644,0.0005644,0.0005644
13,243.799,0.59921,2.8774,0.94754,0.00385,1,0.36088,0.34126,0.36729,3.83582,0.81351,0.0005248,0.0005248,0.0005248
14,261.749,0.57614,2.89827,0.88932,0.00385,1,0.36088,0.34126,0.36729,3.83582,0.81351,0.0004852,0.0004852,0.0004852
15,280.235,0.53334,2.88215,0.93992,0.00385,1,0.36088,0.34126,0.36729,3.83582,0.81351,0.0004456,0.0004456,0.0004456
16,298.219,0.39428,2.99538,0.87666,0.50621,0.5,0.5666,0.52099,0.32068,3.54172,0.79858,0.000406,0.000406,0.000406
17,318.154,0.39479,2.95881,0.82682,0.50621,0.5,0.5666,0.52099,0.32068,3.54172,0.79858,0.0003664,0.0003664,0.0003664
18,337.18,0.42673,2.82029,0.82041,0.50621,0.5,0.5666,0.52099,0.32068,3.54172,0.79858,0.0003268,0.0003268,0.0003268
19,355.107,0.42086,2.94443,0.80919,0.8515,0.5,0.64951,0.64122,0.30651,3.35417,0.8013,0.0002872,0.0002872,0.0002872
20,373.025,0.40788,2.69358,0.85155,0.8515,0.5,0.64951,0.64122,0.30651,3.35417,0.8013,0.0002476,0.0002476,0.0002476
21,390.91,0.38137,2.79162,0.8762,0.8515,0.5,0.64951,0.64122,0.30651,3.35417,0.8013,0.000208,0.000208,0.000208
22,408.665,0.34513,2.80577,0.87378,0.83763,0.5,0.73796,0.65504,0.30218,3.18574,0.80038,0.0001684,0.0001684,0.0001684
23,426.756,0.36462,2.70076,0.83544,0.83763,0.5,0.73796,0.65504,0.30218,3.18574,0.80038,0.0001288,0.0001288,0.0001288
24,447.044,0.36591,2.63345,0.82338,0.83763,0.5,0.73796,0.65504,0.30218,3.18574,0.80038,8.92e-05,8.92e-05,8.92e-05
25,470.8,0.33974,2.53392,0.82727,0.45389,0.67096,0.80153,0.71861,0.30043,3.1136,0.79854,4.96e-05,4.96e-05,4.96e-05
